                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.0813,                  1.446,                 1.5003,                0.62913,                0.23171,                0.27503,                0.10476,                 2.7046,                 4.6041,                 2.1958,               0.048537,               0.048537,               0.048537
                     58,                 2.0596,                 1.4986,                 1.4639,                0.45485,                0.17073,                0.16433,                0.07212,                 2.2772,                 10.213,                 1.8543,               0.048484,               0.048484,               0.048484
                     59,                 2.1672,                  1.579,                 1.5514,                0.04923,                0.04878,                0.03488,                0.01448,                 2.8292,                 51.496,                 2.3222,                0.04843,                0.04843,                0.04843
                     60,                 2.0439,                 1.5217,                 1.4839,                0.27147,                0.18293,                0.12459,                0.04044,                  3.207,                 35.082,                 2.9155,               0.048375,               0.048375,               0.048375
                     61,                 2.0196,                 1.4555,                 1.4802,                 0.2362,                0.70732,                0.52275,                0.22913,                 2.1793,                 20.453,                 1.7263,               0.048319,               0.048319,               0.048319
                     62,                 2.1557,                 1.5981,                 1.4977,                0.49777,                0.68897,                 0.5969,                0.19475,                 2.2012,                 3.2084,                 1.7328,               0.048262,               0.048262,               0.048262
                     63,                 2.1347,                 1.5806,                 1.5396,                0.54045,                0.60239,                0.58879,                0.25185,                 2.0003,                 2.8687,                 1.6575,               0.048204,               0.048204,               0.048204
                     64,                 1.9364,                  1.416,                 1.3826,                 0.5356,                0.67073,                0.58377,                0.24407,                 1.8812,                 5.1397,                 1.5528,               0.048146,               0.048146,               0.048146
                     65,                 2.0433,                  1.352,                 1.5096,                0.51712,                0.60976,                0.54469,                0.24802,                 2.0287,                   3.56,                 1.6917,               0.048086,               0.048086,               0.048086
                     66,                 1.9335,                 1.3137,                 1.5083,                0.41654,                0.31707,                0.24737,                0.04982,                  3.284,                 8.9262,                 2.8551,               0.048026,               0.048026,               0.048026
                     67,                 2.0363,                 1.3314,                 1.5394,                 0.6817,                0.54878,                0.58166,                0.21982,                 2.3968,                 3.0512,                 1.9398,               0.047964,               0.047964,               0.047964
                     68,                 2.0287,                 1.3312,                 1.5104,                0.22749,                 0.2561,                0.15136,                0.04149,                 3.1314,                 15.925,                 2.8234,               0.047902,               0.047902,               0.047902
